Product Naam;Merk/Verkoper;Type Snack;Gewicht/Inhoud;Aantal Stuks;Doelgroep;Prijs €;Korting;Leveringstijd;Bijzonderheden
Chewpi Kauwstaaf (20+ kg) - Extra Large;Chewpi;Yak Kaas Baton;120 g;1;Elke levensfase;15,99;-13% bij 2;11 dec;100% natuurlijk, Belgisch
Chewpi Kauwstaaf (<5 kg) - Small 4-pack;Chewpi;Yak Kaas Baton;120 g;4;Elke levensfase;15,99;-25% bij 4;11 dec;Voor kleine honden (<5kg)
Chewpi Kauwstaaf (5-10kg) - Medium 3-pack;Chewpi;Yak Kaas Baton;180 g;3;Elke levensfase;17,99;-22% bij 4;11 dec;Himalaya traditie
Chewpi Kauwstaaf (10-20kg) - Large 2-pack;Chewpi;Yak Kaas Baton;240 g;2;Elke levensfase;19,99;-30% bij 4;11 dec;Voor middelgrote honden
Landman Eendfilet Gedroogd;Landman Hoevelaken;Eend Filet;400 g;1;Elke levensfase;21,50;-10% bij 4;Woensdag;100% natuurlijk, hypoallergeen
HobbyFirst Canex Trainers Konijn;Hobbyfirst;Trainers;250 g;1;Junior (1-2 jaar);18,00;-35% bij 4;Morgen;Pure Trainers, supplement
Softies Eend;Bellobox;Zachte Snack;100 g;1;Elke levensfase;8,50;-25% bij 3;Woensdag;Ideaal voor training
BROK Verjaardag Snackpakket;BROK shop;Assortiment;300 g;4 stuks;Elke levensfase;25,00;-10% bij 3;15 dec;Runder, Buffelhuid mix
Petstyle Living Sticks Kip 100 stuks;Petstyle Living;Gedraaide Sticks;n.b.;100;n.b.;25,95;n.b.;n.b.;Best-seller (969 reviews)
Petstyle Living Sticks Eend 100 stuks;Petstyle Living;Gedraaide Sticks;n.b.;100;n.b.;25,95;n.b.;n.b.;Populair (969 reviews)
Petstyle Living Sticks Kip & Rund 100 stuks;Petstyle Living;Gedraaide Sticks;n.b.;100;n.b.;25,95;n.b.;n.b.;Mixed (969 reviews)
Petstyle Living Kipfilet;Petstyle Living;Filet;1000 g;1;n.b.;29,95;n.b.;n.b.;Puur kipfilet
